ve_protein	pa_protein	identity	alignment_length	mismatches	gapopen	qstart	qend	sstart	send	evalue	bitscore
WP_007409443.1	WP_229029999.1	0.611	134	50	0	19	152	1	129	2.302e-52	177
WP_007409763.1	WP_020451368.1	0.919	446	36	0	1	446	1	446	1.86e-269	820
WP_007409786.1	WP_020451403.1	0.886	221	25	0	1	221	1	221	2.704e-126	394
WP_007410057.1	WP_023856235.1	0.727	220	59	0	1	216	1	220	4.861e-96	307
WP_007410083.1	WP_023856216.1	0.609	110	43	0	5	114	4	113	1.498e-42	147
WP_007609051.1	WP_020453237.1	0.789	333	70	0	1	333	1	333	2.492e-175	542
WP_021494235.1	WP_026579388.1	0.731	194	52	0	1	194	1	194	2.751e-97	309
WP_021494261.1	WP_020453440.1	0.795	460	94	0	1	460	1	460	5.2650000000000005e-251	768
WP_021494311.1	WP_229078638.1	0.392	125	75	0	1	125	36	160	9.204000000000001e-28	105
WP_021494737.1	WP_026580283.1	0.684	219	69	0	1	219	1	219	3.209e-100	319
WP_021494763.1	WP_145646143.1	0.289	301	213	0	7	306	14	314	2.848e-29	117
WP_021495277.1	WP_048350469.1	0.796	315	64	0	1	315	1	315	7.111e-172	531
WP_021495300.1	WP_035337337.1	0.74	54	14	0	1	54	1	53	9.678e-24	89
WP_021495337.1	WP_095292693.1	0.64	406	145	0	22	426	41	446	3.9520000000000005e-180	561
WP_061862428.1	WP_016885536.1	0.757	379	92	0	1	379	1	379	9.501000000000001e-191	589
WP_061862522.1	WP_020452750.1	0.796	133	27	0	1	133	1	133	1.427e-76	246
WP_070082058.1	WP_020453439.1	0.779	430	95	0	5	434	5	434	3.2700000000000002e-223	686
WP_072176720.1	WP_039072854.1	0.769	368	85	0	1	368	1	368	4.4010000000000003e-194	598
WP_088056273.1	WP_075213313.1	0.391	92	53	0	5	92	11	102	2.727e-16	70
WP_088056326.1	WP_463315623.1	0.626	474	177	0	2	475	1	473	4.605e-193	601
WP_088056541.1	WP_039072588.1	0.756	358	87	0	1	358	1	357	3.266e-184	569
WP_209387347.1	WP_261794644.1	0.522	393	185	0	1	393	1	389	6.829e-134	426
WP_209387353.1	WP_229078789.1	0.482	203	105	0	1	203	1	203	6.496000000000001e-56	190
WP_209387356.1	WP_020451854.1	0.74	212	55	0	1	212	1	212	6.756e-104	330
WP_209387381.1	WP_043054590.1	0.675	742	239	0	9	745	1	742	0.0	1045
WP_209387384.1	WP_065643802.1	0.568	926	399	0	1	925	1	926	0.0	1093
WP_209387387.1	WP_023857433.1	0.827	290	50	0	1	290	1	290	5.162000000000001e-162	501
WP_209387626.1	WP_020453077.1	0.773	269	61	0	1	269	1	269	2.097e-146	455
WP_209387629.1	WP_249726786.1	0.48	1209	623	0	70	1269	58	1266	0.0	1213
WP_209387632.1	WP_020453087.1	0.867	953	127	0	1	953	1	953	0.0	1722
WP_209387678.1	WP_023857076.1	0.568	146	63	0	1	146	1	146	1.215e-48	166
WP_209387681.1	WP_161517458.1	0.804	701	137	0	1	700	1	701	0.0	1215
WP_209387714.1	WP_463315608.1	0.67	200	66	0	1	200	1	200	4.6e-93	297
WP_209387717.1	WP_025810597.1	0.722	393	109	0	1	393	1	392	6.706e-194	599
WP_209387720.1	WP_035337078.1	0.776	407	91	0	6	412	9	415	2.381e-215	662
WP_209387723.1	WP_020453403.1	0.795	441	90	0	1	441	1	441	1.0639999999999999e-243	746
WP_003154256.1	WP_020451391.1	0.89	338	37	0	1	338	1	338	5.504e-194	596
WP_003154740.1	WP_020451111.1	0.631	38	14	0	2	39	7	44	1.925e-13	59
WP_003154782.1	WP_368679083.1	0.802	319	62	0	1	315	1	319	2.665e-173	535
WP_003154805.1	WP_075212749.1	0.849	332	50	0	1	332	1	332	1.468e-188	580
WP_003154813.1	WP_026579849.1	0.632	87	32	0	1	87	1	87	8.431e-33	117
WP_003155135.1	WP_020450874.1	0.805	72	14	0	1	72	1	72	1.389e-36	127
WP_003155143.1	WP_016885923.1	0.902	72	7	0	1	72	1	72	1.937e-40	138
WP_003155179.1	WP_020450829.1	0.663	184	61	0	10	192	9	192	1.189e-78	255
WP_003155478.1	WP_020450629.1	0.924	250	19	0	1	250	1	250	2.458e-150	465
WP_003155502.1	WP_020450621.1	0.679	262	84	0	1	262	1	262	1.33e-120	380
WP_012117658.1	WP_023856968.1	0.353	196	125	0	7	200	3	198	3.1989999999999998e-40	145
WP_012117773.1	WP_020451850.1	0.663	92	31	0	1	92	1	92	1.043e-40	140
WP_012118646.1	WP_023857126.1	0.601	183	73	0	1	183	1	183	5.329e-70	230
WP_012118670.1	WP_094777382.1	0.911	124	11	0	1	124	1	124	4.862000000000001e-72	232
WP_012118762.1	WP_023856957.1	0.755	392	94	0	1	392	1	385	8.539000000000001e-208	639
WP_014416740.1	WP_026578986.1	0.907	499	46	0	1	499	1	499	1.602e-315	956
WP_014416775.1	WP_026580428.1	0.673	150	49	0	1	150	1	150	3.28e-64	211
WP_014417049.1	WP_229129461.1	0.579	202	83	0	4	205	6	203	5.181e-77	251
WP_017417713.1	WP_095290406.1	0.516	90	43	0	1	89	1	90	1.7450000000000002e-26	99
WP_017417766.1	WP_020451361.1	0.804	332	64	0	1	332	1	330	1.072e-174	540
WP_017418224.1	WP_145645230.1	0.814	791	147	0	2	792	7	797	0.0	1349
WP_020955689.1	WP_145624478.1	0.716	141	40	0	1	141	1	141	7.992e-67	218
WP_021493381.1	WP_123032183.1	0.695	440	134	0	1	440	1	440	1.495e-202	627
WP_021493419.1	WP_463315561.1	0.544	259	115	0	21	274	2	260	8.407e-87	283
WP_072177665.1	WP_096748019.1	0.653	407	140	0	1	407	1	405	8.776000000000001e-178	554
WP_076983722.1	WP_145608025.1	0.8	482	96	0	1	482	1	482	2.8159999999999997e-266	813
WP_095060222.1	WP_023857154.1	0.702	131	39	0	1	131	1	131	4.91e-59	195
WP_095060814.1	WP_023857403.1	0.635	85	31	0	1	85	1	85	7.657e-33	117
WP_095061233.1	WP_043054601.1	0.697	314	95	0	18	331	3	315	5.090999999999999e-149	466
WP_115941249.1	WP_463315605.1	0.57	277	119	0	1	277	1	277	1.176e-101	327
WP_159353672.1	WP_232513478.1	0.25	379	278	0	25	403	2	372	9.740999999999999e-44	163
WP_159353954.1	WP_025811808.1	0.882	469	55	0	1	468	1	469	1.2780000000000002e-293	891
WP_209387579.1	WP_026580088.1	0.7	451	134	0	1	451	1	447	1.252e-205	636
WP_209387606.1	WP_035337735.1	0.611	317	122	0	7	321	7	323	2.047e-126	400
WP_209387610.1	WP_020453024.1	0.63	359	132	0	1	358	1	359	2.282e-152	477
WP_209387645.1	WP_026580178.1	0.584	395	163	0	1	395	3	395	2.03e-155	488
WP_209387648.1	WP_020453127.1	0.598	476	190	0	1	476	1	473	8.184999999999999e-187	584
WP_209387651.1	WP_026580183.1	0.527	495	234	0	1	495	1	495	4.965e-165	521
WP_209387685.1	WP_105980983.1	0.783	222	48	0	1	222	1	222	8.744e-123	384
WP_209387687.1	WP_023857571.1	0.868	1228	162	0	1	1228	1	1228	0.0	2312
WP_209388141.1	WP_463315667.1	0.487	1206	598	0	488	1653	49	1254	0.0	1101
WP_209388145.1	WP_035338933.1	0.387	263	160	0	178	439	40	302	3.643e-55	201
WP_209388186.1	WP_026579780.1	0.814	226	42	0	1	226	1	226	9.529e-117	367
WP_209388223.1	WP_026579742.1	0.669	254	83	0	1	253	1	254	3.264e-114	361
WP_209388227.1	WP_020451358.1	0.839	299	48	0	1	299	1	299	3.062e-164	508
WP_209388264.1	WP_025810600.1	0.515	384	186	0	1	384	1	384	3.082e-134	426
WP_003150867.1	WP_020453402.1	0.691	107	33	0	1	107	1	107	2.983e-46	157
WP_003150917.1	WP_023856995.1	0.405	37	21	0	1	37	1	37	1.411e-06	40
WP_003151011.1	WP_020453323.1	0.897	254	26	0	1	254	1	254	3.119e-158	488
WP_003151043.1	WP_035400430.1	0.643	219	78	0	1	219	9	227	6.239e-99	315
WP_003151098.1	WP_145608064.1	0.857	534	76	0	1	534	1	534	2.194e-321	975
WP_003151132.1	WP_003186051.1	0.984	66	1	0	1	66	1	66	1.1610000000000001e-42	144
WP_003151167.1	WP_020453260.1	0.971	70	2	0	1	70	1	70	4.3399999999999996e-39	134
WP_003151172.1	WP_020453256.1	0.763	287	67	0	1	287	1	284	7.559999999999999e-139	434
WP_003151199.1	WP_020451535.1	0.485	107	55	0	1	107	1	107	2.785e-29	109
WP_003151237.1	WP_003185909.1	0.966	333	11	0	1	333	1	333	9.996e-211	644
WP_003152455.1	WP_020452553.1	0.942	312	18	0	1	312	1	312	3.665e-194	595
WP_003152471.1	WP_020452545.1	0.951	124	6	0	1	124	1	124	1.334e-78	251
WP_003152498.1	WP_023855473.1	0.631	133	48	0	1	130	1	133	3.44e-54	181
WP_003152530.1	WP_003184229.1	0.877	344	42	0	1	344	1	344	9.894000000000001e-208	636
WP_003152571.1	WP_020452493.1	0.841	202	32	0	1	202	1	202	6.343e-116	363
WP_003152575.1	WP_020452491.1	0.884	251	29	0	1	250	1	251	6.930999999999999e-157	484
WP_003152598.1	WP_020452477.1	0.866	172	23	0	1	172	1	172	2.539e-94	299
WP_003152606.1	WP_079289277.1	0.879	472	57	0	1	472	1	472	2.4260000000000002e-288	876
WP_003152626.1	WP_025811037.1	0.861	195	27	0	1	195	1	195	1.4829999999999999e-111	350
WP_003152647.1	WP_003184042.1	0.925	335	25	0	1	335	1	335	1.243e-201	618
WP_003153454.1	WP_020451959.1	0.803	320	63	0	1	320	1	320	4.0249999999999995e-171	529
WP_003153483.1	WP_025811228.1	0.52	148	70	0	1	147	1	148	1.27e-48	166
WP_003153532.1	WP_011198064.1	0.783	60	13	0	1	60	1	60	1.6970000000000001e-28	103
WP_003153565.1	WP_020451899.1	0.554	164	73	0	1	164	1	164	4.45e-61	203
WP_003153982.1	WP_020451603.1	0.833	48	8	0	1	48	1	48	3.542e-23	87
WP_003153997.1	WP_020451594.1	0.766	77	18	0	1	77	1	77	3.779e-36	126
WP_003154150.1	WP_020451452.1	0.847	85	13	0	1	85	1	85	1.9880000000000003e-46	156
WP_007407329.1	WP_020452967.1	0.33	118	77	0	28	143	42	159	4.7040000000000004e-20	84
WP_007407355.1	WP_026585626.1	0.79	100	21	0	1	100	1	100	5.011e-52	173
WP_007407612.1	WP_023857064.1	0.89	429	47	0	1	429	1	429	6.766e-255	777
WP_007407614.1	WP_145608063.1	0.651	175	60	0	1	172	1	175	1.968e-72	236
WP_007407649.1	WP_023857048.1	0.9	171	17	0	1	170	1	171	2.627e-102	322
WP_007408086.1	WP_023855476.1	0.466	208	111	0	1	208	1	208	1.8269999999999998e-66	221
WP_007408111.1	WP_065643645.1	0.709	248	72	0	1	248	1	248	4.002e-118	372
WP_007408113.1	WP_020452507.1	0.743	312	79	0	1	310	1	312	1.991e-149	466
WP_007408121.1	WP_463315574.1	0.793	257	53	0	1	257	1	257	2.5359999999999998e-136	425
WP_012117151.1	WP_128822907.1	0.672	307	100	0	1	305	1	307	5.414e-134	421
WP_012117839.1	WP_035338530.1	0.543	161	73	0	1	161	1	161	1.535e-53	181
WP_012117935.1	WP_031304722.1	0.845	484	75	0	6	487	2	485	3.428e-284	865
WP_012118419.1	WP_020452973.1	0.695	46	14	0	1	46	1	46	3.672e-17	70
WP_012118473.1	WP_020452989.1	0.88	225	27	0	1	224	1	225	3.416e-125	391
WP_012118554.1	WP_020453630.1	0.501	239	119	0	3	241	2	240	3.813e-72	239
WP_014416704.1	WP_059230521.1	0.894	378	40	0	1	378	1	378	3.8479999999999996e-218	668
WP_014416724.1	WP_145645983.1	0.638	199	71	0	1	198	1	199	1.283e-82	267
WP_014416954.1	WP_026580215.1	0.794	268	55	0	1	268	1	268	6.741e-142	442
WP_014417025.1	WP_145685739.1	0.535	461	213	0	1	460	1	461	9.342999999999999e-169	530
WP_015240174.1	WP_023855152.1	0.685	254	79	0	1	254	1	252	1.3380000000000002e-116	368
WP_015240316.1	WP_020452466.1	0.456	160	85	0	1	158	1	160	3.912e-43	151
WP_015240700.1	WP_026580188.1	0.945	292	16	0	1	292	1	292	6.72e-186	570
WP_017418085.1	WP_463315566.1	0.622	257	96	0	3	258	4	260	5.4840000000000005e-102	326
WP_017418145.1	WP_145645267.1	0.701	211	63	0	1	211	1	211	1.542e-102	325
WP_017418957.1	WP_009329552.1	0.693	111	33	0	1	110	1	111	4.448e-50	168
WP_021493672.1	WP_020451444.1	0.858	553	78	0	3	555	2	554	1.595e-317	965
WP_103527241.1	WP_023856662.1	0.822	609	108	0	1	609	1	609	0.0	1067
WP_128496595.1	WP_026579861.1	0.537	162	75	0	1	162	1	162	3.871e-62	206
WP_159354715.1	WP_020452664.1	0.771	359	82	0	1	359	1	359	9.132000000000002e-199	611
WP_160216588.1	WP_033155028.1	0.654	701	242	0	1	701	1	701	3.277e-302	929
WP_191389576.1	WP_020450596.1	0.574	397	159	0	1	397	1	375	1.215e-142	451
WP_202331865.1	WP_025810610.1	0.697	331	100	0	1	331	1	331	2.368e-157	490
WP_209388104.1	WP_463315666.1	0.692	760	233	0	1	760	1	759	0.0	1101
WP_209388108.1	WP_003180728.1	0.791	168	35	0	1	168	1	168	8.69e-89	283
WP_209388161.1	WP_463315675.1	0.757	762	185	0	1	762	1	762	0.0	1245
WP_209388165.1	WP_020451122.1	0.76	255	61	0	1	255	1	255	6.6869999999999996e-127	398
WP_209388168.1	WP_145654217.1	0.767	391	91	0	1	391	1	391	9.784e-209	642
WP_209388170.1	WP_020451151.1	0.665	344	115	0	1	343	1	344	4.877e-146	458
WP_209388197.1	WP_095290397.1	0.844	489	76	0	1	489	1	489	2.781e-278	848
WP_209388232.1	WP_020451379.1	0.946	300	16	0	1	300	1	300	2.7640000000000002e-191	586
WP_209388236.1	WP_020451390.1	0.682	538	169	0	1	538	1	533	4.135e-244	752
WP_003156464.1	WP_003156464.1	1.0	102	0	0	1	102	1	102	4.077e-63	205
WP_003156472.1	WP_003178334.1	0.967	92	3	0	1	92	1	92	1.848e-58	191
WP_003156482.1	WP_003178343.1	0.984	66	1	0	1	66	1	66	9.769e-37	127
WP_003156684.1	WP_003178548.1	0.625	127	47	0	1	127	1	126	2.6789999999999996e-47	161
WP_003156732.1	WP_039073125.1	0.629	88	32	0	1	86	1	88	4e-32	115
WP_004264663.1	WP_065643993.1	0.88	125	15	0	1	125	1	125	6.515e-70	226
WP_004264694.1	WP_020449803.1	0.848	290	44	0	3	292	2	291	1.444e-160	497
WP_004264723.1	WP_020449794.1	0.909	275	25	0	1	275	1	275	1.3439999999999997e-169	522
WP_007407393.1	WP_020453031.1	0.612	227	87	0	1	226	1	227	9.677999999999999e-89	286
WP_007614574.1	WP_020453353.1	0.767	86	20	0	1	86	1	86	2.564e-44	150
WP_007614697.1	WP_020453436.1	0.794	468	96	0	1	467	1	468	6.219000000000001e-258	788
WP_007614879.1	WP_023856873.1	0.824	251	44	0	1	251	1	251	3.233e-139	433
WP_012117207.1	WP_095289940.1	0.688	77	23	0	1	75	1	77	1.166e-31	113
WP_012117290.1	WP_003180659.1	0.622	121	45	0	1	121	1	121	1.498e-42	147
WP_012117306.1	WP_020450964.1	0.345	55	35	0	1	55	1	55	3.847e-09	48
WP_012117400.1	WP_020451112.1	0.835	451	74	0	1	451	1	451	2.433e-251	768
WP_012118070.1	WP_003183920.1	0.931	88	6	0	1	88	1	88	1.3829999999999997e-51	171
WP_014417628.1	WP_026579779.1	0.82	300	54	0	1	300	1	300	4.2230000000000003e-162	502
WP_014417650.1	WP_020451248.1	0.378	111	68	0	13	122	14	124	3.7350000000000003e-26	100
WP_014418018.1	WP_463315692.1	0.847	667	102	0	1	667	1	667	0.0	1196
WP_014418076.1	WP_463315558.1	0.288	438	304	0	16	453	9	436	1.226e-63	224
WP_014418086.1	WP_020451722.1	0.78	300	66	0	1	300	1	300	2.875e-156	485
WP_014418276.1	WP_023857476.1	0.757	194	47	0	1	194	1	194	1.982e-99	315
WP_014418289.1	WP_025811211.1	0.737	141	37	0	1	141	1	141	1.3280000000000002e-69	226
WP_017417397.1	WP_020450824.1	0.677	189	61	0	1	189	1	189	4.438e-89	285
WP_017417565.1	WP_026580390.1	0.302	328	225	0	25	352	38	361	4.13e-42	157
WP_017417934.1	WP_023856702.1	0.532	182	84	0	1	180	1	182	1.534e-61	205
WP_017417956.1	WP_023855702.1	0.642	217	77	0	1	217	1	215	2.4119999999999997e-93	299
WP_017418880.1	WP_020453586.1	0.541	506	231	0	4	509	2	506	6.151e-181	568
WP_021494936.1	WP_003180289.1	0.51	774	351	0	1	774	1	718	1.746e-251	786
WP_053285181.1	WP_020452197.1	0.333	164	108	0	10	172	7	170	9.277e-19	81
WP_053285216.1	WP_026580633.1	0.802	446	88	0	3	448	2	445	4.931e-251	767
WP_061862322.1	WP_026579393.1	0.689	280	87	0	1	280	1	280	1.97e-127	401
WP_072177123.1	WP_011197760.1	0.65	315	110	0	1	315	1	315	1.8470000000000002e-143	449
WP_072177268.1	WP_020450979.1	0.707	302	88	0	20	321	15	316	6.805e-157	488
WP_072177466.1	WP_219192392.1	0.395	268	162	0	1	268	1	268	1.543e-60	208
WP_094247166.1	WP_463315673.1	0.516	429	202	0	4	421	7	435	4.086e-149	471
WP_095271806.1	WP_095290392.1	0.618	432	164	0	1	432	1	431	2.8780000000000005e-178	556
WP_209387710.1	WP_023857012.1	0.61	393	151	0	1	393	1	388	1.3729999999999999e-158	497
WP_209387737.1	WP_095291296.1	0.798	397	80	0	1	397	1	397	5.429e-215	660
WP_209387738.1	WP_463315598.1	0.785	691	146	0	2	683	3	693	0.0	1166
WP_209387817.1	WP_020449830.1	0.728	284	77	0	1	284	1	284	1.277e-140	439
WP_209387824.1	WP_020449903.1	0.789	347	73	0	1	346	1	347	5.656e-191	588
WP_209388329.1	WP_025810789.1	0.437	135	75	0	5	139	9	142	8.716e-33	120
WP_209388331.1	WP_025812022.1	0.746	363	92	0	1	363	1	363	1.709e-179	556
WP_209388336.1	WP_371268713.1	0.729	307	83	0	3	309	8	314	5.198e-154	479
WP_481748176.1	WP_223254842.1	0.665	308	103	0	1	308	4	310	8.345e-141	441
WP_003153363.1	WP_020452019.1	0.771	140	32	0	2	141	3	142	1.0900000000000001e-72	235
WP_003156645.1	WP_020450065.1	0.875	192	24	0	1	192	1	192	3.962e-116	363
WP_004264624.1	WP_023855976.1	0.848	244	37	0	1	244	1	244	3.902e-134	418
WP_004264638.1	WP_011197470.1	0.834	102	16	0	1	100	1	102	1.235e-50	169
WP_004264660.1	WP_003178198.1	0.969	97	3	0	1	97	1	97	9.597999999999999e-60	195
WP_004393280.1	WP_020453525.1	0.811	393	74	0	1	393	1	393	4.5249999999999995e-215	660
WP_007407236.1	WP_073425569.1	0.663	104	35	0	1	104	1	104	8.928999999999999e-44	150
WP_007407562.1	WP_023857128.1	0.614	135	52	0	1	135	1	135	3.2190000000000005e-58	193
WP_007407583.1	WP_023857096.1	0.704	159	47	0	1	159	1	159	1.0669999999999999e-80	259
WP_007407598.1	WP_020453265.1	0.705	180	53	0	1	180	1	180	3.552e-86	276
WP_007408043.1	WP_003184396.1	0.828	70	12	0	1	70	1	70	8.542e-34	119
WP_007609432.1	WP_023857925.1	0.463	190	101	0	1	190	1	190	7.606e-57	192
WP_007611171.1	WP_020451244.1	0.881	371	44	0	1	371	1	371	1.2549999999999998e-218	669
WP_007611280.1	WP_020451300.1	0.751	451	112	0	1	451	1	451	7.950999999999999e-229	703
WP_007611430.1	WP_020451393.1	0.855	435	63	0	4	438	3	437	4.697000000000001e-246	752
WP_007613022.1	WP_105980081.1	0.778	122	27	0	1	122	1	122	1.036e-57	192
WP_007613091.1	WP_023855499.1	0.814	167	31	0	1	167	1	167	3.239e-89	284
WP_007613424.1	WP_003184834.1	0.734	143	38	0	1	143	1	143	7.226000000000001e-69	224
WP_007615083.1	WP_023856799.1	0.883	283	33	0	1	283	1	283	1.533e-163	505
WP_007615155.1	WP_023855983.1	0.693	212	65	0	1	212	1	212	1.465e-94	302
WP_007615280.1	WP_023855899.1	0.732	183	49	0	1	183	1	183	7.487e-89	284
WP_209387416.1	WP_023855140.1	0.743	308	79	0	1	308	1	307	2.451e-153	477
WP_209387450.1	WP_023856909.1	0.798	149	30	0	1	149	1	149	2.851e-82	263
WP_209387468.1	WP_023855399.1	0.825	201	35	0	1	201	1	201	5.276e-109	343
WP_209387471.1	WP_059231346.1	0.537	516	237	0	1	513	1	516	1.8240000000000002e-180	567
WP_209387474.1	WP_026579135.1	0.455	344	181	0	1	333	1	344	1.749e-87	288
WP_209387477.1	WP_023855435.1	0.79	363	76	0	1	363	1	363	3.574e-186	575
WP_209387930.1	WP_020451487.1	0.474	99	52	0	1	99	1	99	5.0220000000000005e-28	104
WP_209387933.1	WP_025810650.1	0.733	169	45	0	1	169	1	169	1.152e-87	280
WP_209387967.1	WP_025810325.1	0.868	739	97	0	1	739	1	739	0.0	1304
WP_209387970.1	WP_197406998.1	0.886	457	52	0	1	457	1	457	5.115e-283	860
WP_209387975.1	WP_463315610.1	0.472	286	149	0	1	286	1	284	3.791e-85	279
WP_209388002.1	WP_020450570.1	0.709	385	112	0	1	385	1	385	4.138e-189	585
WP_209388004.1	WP_309539798.1	0.884	372	43	0	1	372	1	372	5.019e-230	702
WP_209388007.1	WP_023855960.1	0.59	198	81	0	1	198	1	198	1.351e-80	261
WP_209388042.1	WP_101560630.1	0.438	262	144	0	10	266	4	265	1.7340000000000001e-69	233
WP_003154804.1	WP_023856737.1	0.931	205	14	0	1	205	1	205	5.738e-127	395
WP_003155121.1	WP_023856619.1	0.772	444	101	0	12	455	2	445	7.955e-231	709
WP_003155141.1	WP_003180439.1	0.706	58	17	0	1	58	1	58	5.94e-23	87
WP_003155168.1	WP_020453458.1	0.786	89	19	0	1	89	1	89	3.292e-43	147
WP_003155205.1	WP_020450815.1	0.785	331	71	0	1	331	1	329	5.399e-182	561
WP_003155495.1	WP_003179924.1	0.816	49	9	0	2	50	1	49	1.4080000000000001e-25	94
WP_003155508.1	WP_020450618.1	0.77	61	14	0	1	61	1	61	9.859000000000001e-28	101
WP_003155578.1	WP_020450564.1	0.841	170	27	0	1	170	1	170	4.896e-95	301
WP_003156187.1	WP_003179128.1	0.974	116	3	0	1	116	1	116	4.0230000000000004e-70	226
WP_007408340.1	WP_020452152.1	0.526	131	60	0	1	131	1	128	5.2540000000000005e-42	146
WP_007408346.1	WP_025811169.1	0.602	216	84	0	1	216	1	211	2.045e-75	247
WP_007408775.1	WP_020452604.1	0.757	272	66	0	1	271	1	272	9.755999999999999e-137	427
WP_007408795.1	WP_020452633.1	0.668	235	78	0	1	235	1	235	6.295e-100	319
WP_007409483.1	WP_020451926.1	0.639	161	58	0	1	161	1	161	4.933000000000001e-65	214
WP_007409532.1	WP_020451873.1	0.542	83	38	0	1	83	1	83	1.18e-27	102
WP_007409821.1	WP_003181921.1	0.87	193	25	0	1	193	1	193	2.483e-113	355
WP_007409921.1	WP_023855982.1	0.779	86	19	0	1	86	1	86	2.652e-42	145
WP_007410132.1	WP_023855771.1	0.903	332	32	0	1	332	1	332	1.034e-204	627
WP_014417243.1	WP_020450630.1	0.803	580	114	0	1	580	1	580	1.868e-319	972
WP_014417388.1	WP_035338980.1	0.814	610	113	0	1	610	1	609	0.0	1044
WP_014417434.1	WP_003180696.1	0.592	166	67	0	1	166	1	165	1.321e-56	190
WP_014417657.1	WP_020451262.1	0.915	612	52	0	1	612	1	612	0.0	1150
WP_014417703.1	WP_095290414.1	0.682	346	109	0	1	345	1	346	8.471999999999999e-167	518
WP_014417707.1	WP_020451285.1	0.835	158	26	0	1	158	1	158	3.4220000000000003e-85	272
WP_014417783.1	WP_020451418.1	0.792	260	54	0	1	260	1	260	3.08e-144	448
WP_014417801.1	WP_025811432.1	0.615	299	113	0	1	299	1	295	1.909e-116	370
WP_014418006.1	WP_224067360.1	0.49	159	80	0	1	158	1	159	2.063e-48	166
WP_014418168.1	WP_003182852.1	0.68	47	14	0	1	45	1	47	7.508e-16	66
WP_029973137.1	WP_023856670.1	0.759	612	147	0	1	612	1	612	7.900000000000001e-302	923
WP_029973368.1	WP_262723585.1	0.576	340	143	0	1	340	1	339	3.287e-139	438
WP_029973434.1	WP_026579701.1	0.697	314	95	0	1	314	1	314	1.476e-144	452
WP_029974329.1	WP_328038350.1	0.79	286	60	0	1	286	1	286	4.641e-154	478
WP_029974790.1	WP_105980644.1	0.67	82	27	0	1	82	1	82	8.179000000000001e-31	111
WP_029974828.1	WP_020451142.1	0.784	176	38	0	1	176	1	176	4.069e-92	293
WP_029974845.1	WP_020449778.1	0.81	206	39	0	6	211	6	211	1.54e-113	357
WP_031378711.1	WP_020452971.1	0.746	320	81	0	1	320	1	320	1.2560000000000001e-176	545
WP_159353970.1	WP_095289935.1	0.59	408	166	0	1	407	7	414	1.366e-164	515
WP_159354623.1	WP_020450401.1	0.848	436	66	0	1	436	1	435	2.2699999999999998e-253	773
WP_191389150.1	WP_144498830.1	0.603	661	262	0	1	661	1	661	2.398e-260	806
WP_209387332.1	WP_026579685.1	0.625	154	56	0	4	154	3	156	1.951e-63	209
WP_209387358.1	WP_095291666.1	0.464	249	131	0	8	256	7	252	9.528e-69	230
WP_209387363.1	WP_341045444.1	0.507	140	69	0	1	140	1	140	2.7019999999999997e-41	145
WP_209387849.1	WP_025810810.1	0.421	376	136	0	1	236	1	376	4.048e-77	253
WP_209387852.1	WP_079289379.1	0.39	458	272	0	1	447	1	458	1.249e-110	361
WP_209387914.1	WP_103750292.1	0.78	719	158	0	1	719	1	718	0.0	1142
WP_209387952.1	WP_095292983.1	0.478	344	175	0	3	346	2	337	5.903e-99	322
WP_003151344.1	WP_096748356.1	0.52	48	23	0	1	48	1	48	5.152e-15	64
WP_003152357.1	WP_020452620.1	0.652	92	32	0	1	92	1	92	1.282e-38	134
WP_003152385.1	WP_020452605.1	0.876	333	41	0	1	333	1	333	3.8079999999999997e-196	602
WP_003152419.1	WP_020452584.1	0.71	335	97	0	1	335	1	335	2.1610000000000002e-159	496
WP_003152438.1	WP_003184343.1	0.831	113	19	0	1	113	1	113	4.653e-59	194
WP_003152461.1	WP_009329359.1	0.728	210	57	0	1	210	1	210	3.434e-101	321
WP_003152473.1	WP_020452543.1	0.881	152	18	0	1	152	1	152	1.447e-90	287
WP_003152509.1	WP_101561172.1	0.714	228	65	0	1	228	1	228	8.624e-109	344
WP_003152560.1	WP_020452497.1	0.971	104	3	0	1	104	1	104	7.423999999999999e-66	213
WP_003152579.1	WP_003184172.1	0.986	74	1	0	1	74	1	74	1.739e-42	144
WP_003153553.1	WP_020451903.1	0.783	194	42	0	1	194	1	194	1.571e-93	298
WP_003153581.1	WP_003182841.1	0.733	60	16	0	1	60	1	60	3.0510000000000003e-30	108
WP_003153994.1	WP_003182236.1	0.902	72	7	0	1	72	1	72	4.7989999999999996e-39	134
WP_003154145.1	WP_020451456.1	0.933	347	23	0	1	346	1	347	1.916e-210	644
WP_003154166.1	WP_020451443.1	0.823	289	51	0	1	289	1	289	7.820999999999999e-157	486
WP_003154182.1	WP_003181879.1	0.966	89	3	0	1	89	1	89	2.388e-54	179
WP_003154288.1	WP_020451373.1	0.965	115	4	0	1	115	1	115	7.730000000000001e-71	228
WP_014417163.1	WP_095292898.1	0.758	335	81	0	4	337	4	338	4.709e-170	527
WP_014417257.1	WP_020450657.1	0.717	273	75	0	11	277	3	275	1.579e-125	395
WP_014417278.1	WP_463315649.1	0.451	283	153	0	8	290	6	285	1.245e-75	252
WP_014417437.1	WP_003180704.1	0.666	117	38	0	1	116	1	117	1.598e-48	164
WP_014417518.1	WP_020451007.1	0.529	51	24	0	1	51	40	90	4.462e-12	56
